"company","isin","ticker"
"3M","US88579Y1010",NA
"CHUBB","CH0044328745",NA
"AES","US00130H1059",NA
"AFLAC","US0010551028",NA
"AT&T","US00206R1023",NA
"ABBVIE","US00287Y1091",NA
"ABBOTT LABORATORIES","US0028241000",NA
"ABERCROMBIE & FITCH 'A'","US0028962076",NA
"ACCENTURE CLASS A","IE00B4BNMY34",NA
"ADOBE (NAS)","US00724F1012",NA
"ADVANCED MICRO DEVICES","US0079031078",NA
"AGILENT TECHS.","US00846U1016",NA
"AIR PRDS.& CHEMS.","US0091581068",NA
"AKAMAI TECHS.","US00971T1016",NA
"HOWMET AEROSPACE","US4432011082",NA
"ATI","US01741R1023",NA
"ALLSTATE ORD SHS","US0200021014",NA
"ALTRIA GROUP","US02209S1033",NA
"AMAZON.COM","US0231351067",NA
"AMEREN","US0236081024",NA
"AMER.ELEC.PWR.","US0255371017",NA
"AMERICAN EXPRESS","US0258161092",NA
"AMERICAN INTL.GP.","US0268747849",NA
"AMERICAN TOWER","US03027X1000",NA
"AMERIPRISE FINL.","US03076C1062",NA
"CENCORA","US03073E1055",NA
"AMGEN","US0311621009",NA
"AMPHENOL 'A'","US0320951017",NA
"ANALOG DEVICES","US0326541051",NA
"AON CLASS A","IE00BLP1HW54",NA
"APA","US03743Q1085",NA
"APARTMENT INV.& MAN.'A'","US03748R7474",NA
"APPLE","US0378331005",NA
"APPLIED MATS.","US0382221051",NA
"ARCHER DANIELS MIDLAND","US0394831020",NA
"ASSURANT","US04621X1081",NA
"AUTONATION","US05329W1027",NA
"AUTOZONE","US0533321024",NA
"AUTODESK","US0527691069",NA
"AUTOMATIC DATA PROC.","US0530151036",NA
"AVALONBAY COMMNS.","US0534841012",NA
"AVERY DENNISON","US0536111091",NA
"TRUIST FINANCIAL","US89832Q1094",NA
"BAKER HUGHES A","US05722G1004",NA
"BALL","US0584981064",NA
"BANK OF AMERICA","US0605051046",NA
"BAXTER INTL.","US0718131099",NA
"BECTON DICKINSON","US0758871091",NA
"BERKSHIRE HATHAWAY 'B'","US0846707026",NA
"BEST BUY","US0865161014",NA
"BIG LOTS (OTC)","US0893021032",NA
"BIOGEN","US09062X1037",NA
"BLACKROCK","US09290D1019",NA
"H&R BLOCK","US0936711052",NA
"BOEING","US0970231058",NA
"BORGWARNER","US0997241064",NA
"BXP","US1011211018",NA
"BOSTON SCIENTIFIC","US1011371077",NA
"BRISTOL MYERS SQUIBB","US1101221083",NA
"BROWN-FORMAN 'B'","US1156372096",NA
"CBRE GROUP CLASS A","US12504L1098",NA
"PARAMOUNT SKYDANCE B","US69932A2042",NA
"CF INDUSTRIES HDG.","US1252691001",NA
"CH ROBINSON WWD.","US12541W2098",NA
"CMS ENERGY","US1258961002",NA
"CNX RESOURCES","US12653C1080",NA
"CSX","US1264081035",NA
"CVS HEALTH","US1266501006",NA
"COTERRA ENERGY","US1270971039",NA
"THE CAMPBELL S COMPANY","US1344291091",NA
"CAPITAL ONE FINL.","US14040H1059",NA
"CARDINAL HEALTH","US14149Y1082",NA
"CARMAX","US1431301027",NA
"CARNIVAL","PA1436583006",NA
"CATERPILLAR","US1491231015",NA
"CENTERPOINT EN.","US15189T1079",NA
"LUMEN TECHNOLOGIES","US5502411037",NA
"CHEVRON","US1667641005",NA
"CME GROUP","US12572Q1058",NA
"CHIPOTLE MEXN.GRILL","US1696561059",NA
"CIGNA","US1255231003",NA
"CINCINNATI FINL.","US1720621010",NA
"CINTAS","US1729081059",NA
"CISCO SYSTEMS","US17275R1023",NA
"CITIGROUP","US1729674242",NA
"CLEVELAND CLIFFS","US1858991011",NA
